City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Cabo San Lucas,MX,22.8909,-109.9124,80.62,69,2,1.01,clear sky
267,Hovd,MN,48.0056,91.6419,47.03,40,25,3.42,scattered clouds
268,Algiers,DZ,36.7525,3.042,67.82,43,20,21.85,few clouds
269,Pakxan,LA,18.3778,103.6601,79.48,70,58,2.84,broken clouds
270,Geraldton,AU,-28.7667,114.6,72.01,35,42,18.41,scattered clouds
271,Sinnamary,GF,5.3833,-52.95,79.34,85,98,4.14,overcast clouds
272,Mezhdurechensk,RU,53.6942,88.0603,20.03,89,63,3.47,broken clouds
273,Bolu,TR,40.6667,31.5833,58.15,68,98,4.68,overcast clouds
274,Gat,IL,31.61,34.7642,73.4,100,22,4.25,few clouds
275,Birin,NP,26.8865,88.0718,62.64,61,0,5.75,clear sky
276,Nanortalik,GL,60.1432,-45.2371,35.71,97,100,2.06,light rain
277,Isla Mujeres,MX,21.2311,-86.731,84.25,73,8,12.73,clear sky
278,Kaitangata,NZ,-46.2817,169.8464,51.19,91,100,12.71,light rain
279,Atambua,ID,-9.1061,124.8925,72.54,86,7,3.94,clear sky
280,Buala,SB,-8.145,159.5921,79.5,82,85,3.31,overcast clouds
281,Bose,IT,45.4612,8.0137,53.29,94,100,2.04,moderate rain
282,Cauquenes,CL,-35.9671,-72.3225,58.15,84,100,8.97,overcast clouds
283,San Isidro,PE,-12.1167,-77.05,72.5,74,40,8.05,scattered clouds
284,Mocajuba,BR,-2.5842,-49.5072,83.71,74,97,3.31,overcast clouds
285,Pevek,RU,69.7008,170.3133,5.43,98,99,2.42,overcast clouds
286,Manga,BF,11.6636,-1.0731,103.48,17,69,4.61,broken clouds
287,Fenoarivo,MG,-18.933,47.4354,63.48,91,99,8.72,overcast clouds
288,Mercedes,AR,-34.6515,-59.4307,71.04,25,4,13.65,clear sky
289,Chesma,RU,53.8111,60.6533,43.97,44,76,10.96,broken clouds
290,Manyana,BW,-23.4,21.7167,73.17,30,18,4.83,few clouds
291,Mahibadhoo,MV,3.7833,72.9667,84.87,73,98,10.74,overcast clouds
292,Sistranda,NO,63.7256,8.834,57.16,81,74,16.96,broken clouds
293,Aras,ES,42.5617,-2.356,44.76,93,100,9.22,overcast clouds
294,Ovalle,CL,-30.5983,-71.2003,79.61,26,0,4.18,clear sky
295,Ancud,CL,-41.8697,-73.8203,50.23,78,88,20.96,light rain
296,Westport,US,41.1415,-73.3579,65.44,39,75,8.05,broken clouds
297,Maryville,US,35.7565,-83.9705,82.17,51,40,9.22,scattered clouds
298,Metes,RO,46.1,23.4167,53.42,78,32,11.34,scattered clouds
299,Lorengau,PG,-2.0226,147.2712,80.37,82,92,8.1,overcast clouds
300,Vostok,RU,46.4856,135.8833,35.44,77,99,6.13,overcast clouds
301,Naze,JP,28.3667,129.4833,71.26,93,100,12.21,light rain
302,Marsa Matruh,EG,31.3525,27.2453,66.09,62,10,8.68,clear sky
303,Kodiak,US,57.79,-152.4072,42.31,81,100,13.8,light rain
304,Kralendijk,BQ,12.15,-68.2667,80.58,74,75,11.5,broken clouds
305,Dingle,PH,10.9995,122.6711,77.18,87,45,5.91,scattered clouds
